Metric,TD vs Saliency,ASD vs Saliency
AUC_Borji,0.23293623706906366,0.2521457889872947
AUC_Judd,0.3835349944210488,0.39209083048183063
AUC_Shuffled,-0.2664970875257886,-0.24728753560755756
CC,-0.44985499797805595,-0.4479293607871835
MSE,0.38270431756973267,0.5235321521759033
EMD,0.1567105422559994,0.020987835835035776
KLdiv,0.09639359755403354,0.0017586677728282894
NSS,-0.20921573042869568,-0.22214573621749878
Info Gain,0.026083148272811302,-0.005912226978850427
